"time","x_coords","y_coords","s","dis","dir","event","nflId","displayName","jerseyNumber","team","frame.id","gameId","playId"
"2017-09-08T03:26:11Z",26.77,23.82,0.03,0,105.35,NA,2506340,"Alex Smith",11,"away",1,2017090700,3725
"2017-09-08T03:26:11Z",26.77,23.82,0.03,0,105.66,NA,2506340,"Alex Smith",11,"away",2,2017090700,3725
"2017-09-08T03:26:11Z",26.77,23.82,0.03,0,105.98,NA,2506340,"Alex Smith",11,"away",3,2017090700,3725
"2017-09-08T03:26:11Z",26.78,23.82,0.03,0,106.46,NA,2506340,"Alex Smith",11,"away",4,2017090700,3725
"2017-09-08T03:26:11Z",26.78,23.81,0.03,0,107.42,NA,2506340,"Alex Smith",11,"away",5,2017090700,3725
"2017-09-08T03:26:12Z",26.78,23.81,0.03,0,109.51,NA,2506340,"Alex Smith",11,"away",6,2017090700,3725
"2017-09-08T03:26:12Z",26.79,23.81,0.03,0,112.83,NA,2506340,"Alex Smith",11,"away",7,2017090700,3725
"2017-09-08T03:26:12Z",26.79,23.81,0.03,0,117.66,NA,2506340,"Alex Smith",11,"away",8,2017090700,3725
"2017-09-08T03:26:12Z",26.79,23.81,0.02,0,124.86,NA,2506340,"Alex Smith",11,"away",9,2017090700,3725
"2017-09-08T03:26:12Z",26.79,23.81,0.02,0,133.91,NA,2506340,"Alex Smith",11,"away",10,2017090700,3725
"2017-09-08T03:26:12Z",26.79,23.81,0.02,0,145.15,NA,2506340,"Alex Smith",11,"away",11,2017090700,3725
"2017-09-08T03:26:12Z",26.8,23.81,0.02,0,161.18,NA,2506340,"Alex Smith",11,"away",12,2017090700,3725
"2017-09-08T03:26:12Z",26.8,23.81,0.04,0,192.38,NA,2506340,"Alex Smith",11,"away",13,2017090700,3725
"2017-09-08T03:26:12Z",26.8,23.81,0.11,0,224.36,"man_in_motion",2506340,"Alex Smith",11,"away",14,2017090700,3725
"2017-09-08T03:26:12Z",26.8,23.81,0.29,0,235.41,"ball_snap",2506340,"Alex Smith",11,"away",15,2017090700,3725
"2017-09-08T03:26:13Z",26.8,23.8,0.48,0,241.82,NA,2506340,"Alex Smith",11,"away",16,2017090700,3725
"2017-09-08T03:26:13Z",26.8,23.8,0.64,0,247.34,NA,2506340,"Alex Smith",11,"away",17,2017090700,3725
