"time","x_coords","y_coords","s","dis","dir","event","nflId","displayName","jerseyNumber","team","frame.id","gameId","playId"
"2017-09-08T00:42:41Z",74.62,18.19,0.01,0,147.47,NA,496723,"Eric Berry",29,"away",1,2017090700,68
"2017-09-08T00:42:41Z",74.63,18.19,0.01,0,151.73,NA,496723,"Eric Berry",29,"away",2,2017090700,68
"2017-09-08T00:42:41Z",74.63,18.19,0.01,0,154.89,NA,496723,"Eric Berry",29,"away",3,2017090700,68
"2017-09-08T00:42:41Z",74.63,18.19,0.02,0,157.14,NA,496723,"Eric Berry",29,"away",4,2017090700,68
"2017-09-08T00:42:41Z",74.63,18.18,0.02,0,158.81,NA,496723,"Eric Berry",29,"away",5,2017090700,68
"2017-09-08T00:42:41Z",74.63,18.18,0.02,0,160.1,NA,496723,"Eric Berry",29,"away",6,2017090700,68
"2017-09-08T00:42:41Z",74.63,18.18,0.02,0,161.42,NA,496723,"Eric Berry",29,"away",7,2017090700,68
"2017-09-08T00:42:41Z",74.63,18.18,0.03,0,163.1,NA,496723,"Eric Berry",29,"away",8,2017090700,68
"2017-09-08T00:42:41Z",74.63,18.17,0.03,0,165.44,NA,496723,"Eric Berry",29,"away",9,2017090700,68
"2017-09-08T00:42:41Z",74.63,18.17,0.03,0,168.65,NA,496723,"Eric Berry",29,"away",10,2017090700,68
"2017-09-08T00:42:42Z",74.64,18.17,0.03,0,173.02,NA,496723,"Eric Berry",29,"away",11,2017090700,68
"2017-09-08T00:42:42Z",74.64,18.16,0.04,0,178.58,NA,496723,"Eric Berry",29,"away",12,2017090700,68
"2017-09-08T00:42:42Z",74.64,18.16,0.04,0,186.64,NA,496723,"Eric Berry",29,"away",13,2017090700,68
"2017-09-08T00:42:42Z",74.64,18.16,0.05,0,204.28,NA,496723,"Eric Berry",29,"away",14,2017090700,68
"2017-09-08T00:42:42Z",74.64,18.15,0.14,0,234.45,"ball_snap",496723,"Eric Berry",29,"away",15,2017090700,68
"2017-09-08T00:42:42Z",74.64,18.15,0.32,0,245.08,NA,496723,"Eric Berry",29,"away",16,2017090700,68
"2017-09-08T00:42:42Z",74.64,18.14,0.53,0,250.47,NA,496723,"Eric Berry",29,"away",17,2017090700,68
"2017-09-08T00:42:42Z",74.64,18.14,0.72,0,254.42,NA,496723,"Eric Berry",29,"away",18,2017090700,68
"2017-09-08T00:42:42Z",74.64,18.13,0.89,0.01,257.27,NA,496723,"Eric Berry",29,"away",19,2017090700,68
"2017-09-08T00:42:42Z",74.63,18.13,1.06,0.01,259.15,NA,496723,"Eric Berry",29,"away",20,2017090700,68
"2017-09-08T00:42:43Z",74.63,18.12,1.22,0.01,260.41,NA,496723,"Eric Berry",29,"away",21,2017090700,68
"2017-09-08T00:42:43Z",74.62,18.12,1.4,0.01,261.52,NA,496723,"Eric Berry",29,"away",22,2017090700,68
"2017-09-08T00:42:43Z",74.59,18.1,1.59,0.03,262.61,NA,496723,"Eric Berry",29,"away",23,2017090700,68
"2017-09-08T00:42:43Z",74.43,18.04,1.8,0.17,263.61,NA,496723,"Eric Berry",29,"away",24,2017090700,68
"2017-09-08T00:42:43Z",74.11,17.94,2.03,0.34,264.8,NA,496723,"Eric Berry",29,"away",25,2017090700,68
"2017-09-08T00:42:43Z",73.73,17.86,2.27,0.39,265.96,NA,496723,"Eric Berry",29,"away",26,2017090700,68
"2017-09-08T00:42:43Z",73.38,17.83,2.53,0.35,267.17,NA,496723,"Eric Berry",29,"away",27,2017090700,68
"2017-09-08T00:42:43Z",73.06,17.82,2.79,0.32,268.31,NA,496723,"Eric Berry",29,"away",28,2017090700,68
"2017-09-08T00:42:43Z",72.76,17.81,3.06,0.31,269.41,NA,496723,"Eric Berry",29,"away",29,2017090700,68
"2017-09-08T00:42:43Z",72.46,17.8,3.35,0.3,270.75,NA,496723,"Eric Berry",29,"away",30,2017090700,68
"2017-09-08T00:42:44Z",72.14,17.79,3.64,0.32,272.2,NA,496723,"Eric Berry",29,"away",31,2017090700,68
"2017-09-08T00:42:44Z",71.79,17.79,3.94,0.35,273.71,NA,496723,"Eric Berry",29,"away",32,2017090700,68
"2017-09-08T00:42:44Z",71.42,17.79,4.19,0.38,275.76,NA,496723,"Eric Berry",29,"away",33,2017090700,68
"2017-09-08T00:42:44Z",71,17.82,4.36,0.42,278.25,NA,496723,"Eric Berry",29,"away",34,2017090700,68
